"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"90","Seeing #Arsenal and #Spurs fans arguing who is the biggest team in North London is like seeing 2 midgets arguing ov‚Ä¶ https://t.co/QGduc8BIJS",FALSE,0,NA,2017-11-16 17:58:07,TRUE,NA,"931219847945555968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Simply_Scholes_",0,FALSE,FALSE,NA,NA,"in the clouds","en","http://pbs.twimg.com/profile_images/930177924757639169/CnsfJ1_X_normal.jpg"
"91","I think its fair to say Jens and Gilberto were not fans of Gallas
https://t.co/EITCUmWCP7 #uta #arsenal",FALSE,0,NA,2017-11-16 17:57:36,FALSE,NA,"931219717225926656",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","thefootballsc",0,FALSE,FALSE,NA,NA,"London","en","http://pbs.twimg.com/profile_images/544064689257189377/7aSNqtRV_normal.png"
"92","#Arsenal  https://t.co/4r7PUe0bdi",FALSE,0,NA,2017-11-16 17:56:51,FALSE,NA,"931219527970574336",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Antondub",0,FALSE,FALSE,NA,NA,"Dalkey,Dublin,Ireland.","en","http://pbs.twimg.com/profile_images/2232733563/gero_normal.jpg"
"93","RT @FootballFanCast: Ì†ΩÌ≥Ü 16/11/2002

#Onthisday 15 years ago, @ThierryHenry did what he does best against #Arsenal's north London rivals Ì†ΩÌπå

(‚Ä¶",FALSE,0,NA,2017-11-16 17:56:41,FALSE,NA,"931219487910715392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JpBuckley85",15,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/675630703095230464/-EUHHuiA_normal.jpg"
"94","#Atl√©ticoTucum√°n #Arsenal #Fecha9 #Superliga https://t.co/LOMfvMfp42",FALSE,0,NA,2017-11-16 17:55:17,FALSE,NA,"931219135786291205",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","JonyMontivero",0,FALSE,FALSE,NA,NA,"","es","http://pbs.twimg.com/profile_images/583441058371084288/vsxekl5n_normal.jpg"
"95","Someone help him! #Arsenal #WATP @Arsenal @ArsenalFanTV @MrDtAFC @TroopzAFC https://t.co/3t7XDPneBl",FALSE,0,NA,2017-11-16 17:54:38,FALSE,NA,"931218970677596160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","96apc",0,FALSE,FALSE,NA,NA,"Arbroath, Scotland","en","http://pbs.twimg.com/profile_images/930052969168596992/_gmEB3ZT_normal.jpg"
"96","Arsenal FC Autographed Football 1990's early 2000's team players https://t.co/dlJAjJ4FFF #Arsenal #AFC https://t.co/Y2hYDpiWuo",FALSE,0,NA,2017-11-16 17:54:18,FALSE,NA,"931218888100065281",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","ArsenalHQNews",0,FALSE,FALSE,NA,NA,"North London","en","http://pbs.twimg.com/profile_images/579932158657196032/GXL-j4R4_normal.png"
"97","RT @EPLpod: New episode: Have Spurs eclipsed Arsenal? #PodernFamily Cc: @eatmygoaltv https://t.co/BKtVYKYrv4 #Spurs #Arsenal https://t.co/c‚Ä¶",FALSE,0,NA,2017-11-16 17:53:00,FALSE,NA,"931218558222290944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NerdsWithWords1",7,TRUE,FALSE,NA,NA,"Pennsylvania","en","http://pbs.twimg.com/profile_images/881910921018454020/gG_ncObb_normal.jpg"
"98","RT @Joepav77: Arsenal vs Tottenham Hotspur
https://t.co/cp6c1tqvw5

#Arsenal #Gunners #PremierLeague #soccer #Spurs #TottenhamHotspur https‚Ä¶",FALSE,0,NA,2017-11-16 17:52:52,FALSE,NA,"931218526500720640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Reser29700985",1432,TRUE,FALSE,NA,NA,"","tr","http://pbs.twimg.com/profile_images/879859066922835970/S4xabXNI_normal.png"
"99","RT @GabrielsenRgen: Ready!Ì†ΩÌ∏é @TV2_Jon @TV2Alsaker @TV2Wikestad @TV2JHBorslid #Arsenal #XhakaTime https://t.co/hxaynaajsj",FALSE,0,NA,2017-11-16 17:52:26,FALSE,NA,"931218418904297472",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","abkasearki1986",4,TRUE,FALSE,NA,NA,"","ru","http://pbs.twimg.com/profile_images/930538054632296448/QqJqQcad_normal.jpg"
"100","RT @BrandonTopps: NEW VID - We Hate These lot!"" A Must win game - NLD PREVIEW https://t.co/IgrljQC6ty via @YouTube #Arsenal #spurs #coyg",FALSE,0,NA,2017-11-16 17:52:11,FALSE,NA,"931218355687755778",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AkwoLouis",6,TRUE,FALSE,NA,NA,"Yaound√©","en","http://pbs.twimg.com/profile_images/796443781432279047/q8jxNsQN_normal.jpg"
"101","UOL Ì†ΩÌ≥∞ | Lucas #Moura is almost certain to leave in January. Of all the clubs that have shown interest in him, he is‚Ä¶ https://t.co/4RIqxx5VXL",FALSE,0,NA,2017-11-16 17:52:10,TRUE,NA,"931218348704137218",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MyFussbllTweets",1,FALSE,FALSE,NA,NA,"London, England","en","http://pbs.twimg.com/profile_images/897247706665676800/G6yTJ0Ce_normal.jpg"
"102","@barneyronay Maybe he could do 15 games every year for #arsenal mainly when playing top 6 sides #WengerSilvaJobShare",FALSE,0,"barneyronay",2017-11-16 17:50:40,FALSE,"931070931405033474","931217973691461633","47912448","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","riz_uk",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/676013423025614848/jY0InDLj_normal.jpg"
"103","Ì†ΩÌ∑ì 15 years ago today...
#arsenal #gunners #HENRY #thierryhenry
#12thmantimes #tmt #jtse https://t.co/jYPdcBE3Nb",FALSE,0,NA,2017-11-16 17:50:17,FALSE,NA,"931217877499199488",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","the12thmantimes",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/817643595616243712/0E1MRx7f_normal.jpg"
"104","So, here's Mauricio Pochettino hugging a huge cock and ball ...
#Arsenal #AFC #Gooners #COYS #Tottenham #Spurs‚Ä¶ https://t.co/KhlQjjO8mX",FALSE,0,NA,2017-11-16 17:49:26,TRUE,NA,"931217663845597184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sinkaspud",0,FALSE,FALSE,NA,NA,"North London","en","http://pbs.twimg.com/profile_images/1373315261/sinkaspud_normal.jpg"
"105","#ArsenalFC #Arsenal #AFC Premier League summer signings rated for big 6 clubs https://t.co/VJhaQKLkUr https://t.co/yK1u3UDDCW",FALSE,0,NA,2017-11-16 17:48:56,FALSE,NA,"931217538247208961",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","arsenalnewsonly",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/919525798012362752/z_sHxuQW_normal.jpg"
"106","RT @Stuart_PhotoAFC: Thierry Henry's goal v spurs from 16th November 2002. #TH14 #arsenal #afc https://t.co/6N4RmYyxD4",FALSE,0,NA,2017-11-16 17:48:34,FALSE,NA,"931217445544742918",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","D_Floriiian",151,TRUE,FALSE,NA,NA,"France","fr","http://pbs.twimg.com/profile_images/924823196842512389/DZdLYUe5_normal.jpg"
"107","RT @GunnerBallZ: What have you made of our summer signings so far? ‚òÄÔ∏è #lacazette  #kolasinac #arsenal #afc #puma https://t.co/9wGLalaSZp",FALSE,0,NA,2017-11-16 17:48:20,FALSE,NA,"931217385692057601",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","GunnerBallZ",3,TRUE,FALSE,NA,NA,"Emirates Stadium","en","http://pbs.twimg.com/profile_images/928619514794737664/0y0vMvYG_normal.jpg"
"108","Still my fav #NLD derby photo ever! What I‚Äôd give to have another @ThierryHenry in the team atm #arsenal #afc #coyg‚Ä¶ https://t.co/OqkyvHCbsi",FALSE,0,NA,2017-11-16 17:46:32,TRUE,NA,"931216930974896128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rdrew86",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/493165445063913472/xy0KJBPP_normal.jpeg"
"109","Wright: Kane and Lacazette are desperate to score goals by @jeinchy29 #Arsenal https://t.co/KPKVgxJBsT",FALSE,1,NA,2017-11-16 17:46:28,FALSE,NA,"931216913866395648",NA,"<a href=""http://dailycannon.com"" rel=""nofollow"">DC 2017</a>","DailyCannon",1,FALSE,FALSE,NA,NA,"Everywhere","en","http://pbs.twimg.com/profile_images/875719052538380288/5UtBPLut_normal.png"
"110","RT @BrandonTopps: NEW VID - We Hate These lot!"" A Must win game - NLD PREVIEW https://t.co/IgrljQC6ty via @YouTube #Arsenal #spurs #coyg",FALSE,0,NA,2017-11-16 17:45:55,FALSE,NA,"931216775592775680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheGoonerette",6,TRUE,FALSE,NA,NA,"London, England","en","http://pbs.twimg.com/profile_images/930521510435086336/d5LYPrWV_normal.jpg"
"111","#Tottenham manager Mauricio Pochettino showing more respect for #Wenger than 'supposed' #Arsenal fan @piersmorgan‚Ä¶ https://t.co/uU2cEPqvRK",FALSE,0,NA,2017-11-16 17:44:55,TRUE,NA,"931216524018356224",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sinkaspud",0,FALSE,FALSE,NA,NA,"North London","en","http://pbs.twimg.com/profile_images/1373315261/sinkaspud_normal.jpg"
